,Name,Base ATK (Max),2nd Stat (Max),Passive Ability
0,Amos' Bow,46(608),ATK 10.8%(49.6%),"Strong-WilledIncreases Normal Attack and Charged Attack DMG by 12~24%. After a Normal or Charged Attack is fired, DMG dealt increases by a further 8~16% every 0.1 seconds the arrow is in the air for up to 5 times."
1,Aqua Simulacra,44(542),CRIT DMG 19.2%(88.2%),"The Cleansing FormHP is increased by 16~32%. When there are opponents nearby, the DMG dealt by the wielder of this weapon is increased by 20~40%. This will take effect whether the character is on-field or not."
2,Elegy for the End,46(608),Energy Recharge 12%(55.1%),"The Parting RefrainA part of the ""Millennial Movement"" that wanders amidst the winds.Increases Elemental Mastery by 60~120.When the Elemental Skills or Elemental Bursts of the character wielding this weapon hit opponents, that character gains a Sigil of Remembrance. This effect can be triggered once every 0.2s and can be triggered even if said character is not on the field.When you possess 4 Sigils of Remembrance, all of them will be consumed and all nearby party members will obtain the ""Millennial Movement: Farewell Song"" effect for 12s.""Millennial Movement: Farewell Song"" increases Elemental Mastery by 100~200 and increases ATK by 20~40%. Once this effect is triggered, you will not gain Sigils of Remembrance for 20s.Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack."
3,Hunter's Path,44(542),CRIT Rate 9.6%(44.1%),At the End of the Beast-PathsGain 12~24% All Elemental DMG Bonus. Obtain the Tireless Hunt effect after hitting an opponent with a Charged Attack. This effect increases Charged Attack DMG by 160~320% of Elemental Mastery. This effect will be removed after 12 Charged Attacks or 10s. Only 1 instance of Tireless Hunt can be gained every 12s.
4,Polar Star,46(608),CRIT Rate 7.2%(33.1%),"Daylight's AuguryElemental Skill and Elemental Burst DMG increased by 12~24%. After a Normal Attack, Charged Attack, Elemental Skill or Elemental Burst hits an opponent, 1 stack of Ashen Nightstar will be gained for 12s. When 1/2/3/4 stacks of Ashen Nightstar are present, ATK is increased by 10/20/30/48~20/40/60/96%. The stack of Ashen Nightstar created by the Normal Attack, Charged Attack, Elemental Skill or Elemental Burst will be counted independently of the others."
5,Skyward Harp,48(674),CRIT Rate 4.8%(22.1%),"Echoing BalladIncreases CRIT DMG by 20~40%. Hits have a 60~100% chance to inflict a small AoE attack, dealing 125% Physical ATK DMG. Can only occur once every 4~2s."
6,Thundering Pulse,46(608),CRIT DMG 14.4%(66.2%),"Rule By ThunderIncreases ATK by 20~40% and grants the might of the Thunder Emblem. At stack levels 1/2/3, the Thunder Emblem increases Normal Attack DMG by 12/24/40~24/48/80%. The character will obtain 1 stack of Thunder Emblem in each of the following scenarios: Normal Attack deals DMG (stack lasts 5s), casting Elemental Skill (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently."
7,Alley Hunter,44(565),ATK 6%(27.6%),"Oppidan AmbushWhile the character equipped with this weapon is in the party but not on the field, their DMG increases by 2~4% every second up to a max of 20~40%. When the character is on the field for more than 4s, the aforementioned DMG buff decreases by 4~8% per second until it reaches 0%."
8,Blackcliff Warbow,44(565),CRIT DMG 8%(36.8%),"Press the AdvantageAfter defeating an opponent, ATK is increased by 12~24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
9,Compound Bow,41(454),Physical DMG Bonus 15%(69.0%),Infusion ArrowNormal Attack and Charged Attack hits increase ATK by 4~8% and Normal ATK SPD by 1.2~2.4% for 6s. Max 4 stacks. Can only occur once every 0.3s.
10,End of the Line,42(510),Energy Recharge 10.0%(45.9%),"Net SnapperTriggers the Flowrider effect after using an Elemental Skill, dealing 80~160% ATK as AoE DMG upon hitting an opponent with an attack. Flowrider will be removed after 15s or after causing 3 instances of AoE DMG. Only 1 instance of AoE DMG can be caused every 2s in this way. Flowrider can be triggered once every 12s."
11,Fading Twilight,44(565),Energy Recharge 6.7%(30.6%),"Radiance of the DeepsHas three states, Evengleam, Afterglow, and Dawnblaze, which increase DMG dealt by 6%/10%/14%~12%/20%/28% respectively. When attacks hit opponents, this weapon will switch to the next state. This weapon can change states once every 7s. The character equipping this weapon can still trigger the state switch while not on the field."
12,Favonius Warbow,41(454),Energy Recharge 13.3%(61.3%),"WindfallCRIT hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
13,Hamayumi,41(454),ATK 12%(55.1%),"Full DrawIncreases Normal Attack DMG by 16~32% and Charged Attack DMG by 12~24%. When the equipping character's Energy reaches 100%, this effect is increased by 100%."
14,King's Squire,41(454),ATK 12%(55.1%),"Labyrinth Lord's InstructionObtain the Teachings of the Forest effect when unleashing Elemental Skills and Bursts, increasing Elemental Mastery by 60~140 for 12s. This effect will be removed when switching characters. When the Teachings of the Forest effect ends or is removed, it will deal 100~180% of ATK as DMG to 1 nearby opponent. The Teachings of the Forest effect can be triggered once every 20s."
15,Mitternachts Waltz,42(510),Physical DMG Bonus 11.3%(51.7%),Evernight DuetNormal Attack hits on opponents increase Elemental Skill DMG by 20~40% for 5s. Elemental Skill hits on opponents increase Normal Attack DMG by 20~40% for 5s.
16,Mouun's Moon,44(565),ATK 6%(27.6%),"Watatsumi WavewalkerFor every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12~0.24%. A maximum of 40~80% increased Elemental Burst DMG can be achieved this way."
17,Predator,42(510),ATK 9%(41.3%),"Strong Strike This weapon's effect is only applied on the following platform(s): ""PlayStation Network"" Dealing Cryo DMG to opponents increases this character's Normal and Charged Attack DMG by 10% for 6s. This effect can have a maximum of 2 stacks.Additionally, when Aloy equips Predator, ATK is increased by 66."
18,Prototype Crescent,42(510),ATK 9%(41.3%),UnreturningCharged Attack hits on weak points increase Movement SPD by 10% and ATK by 36~72% for 10s.
19,Royal Bow,42(510),ATK 9%(41.3%),"FocusUpon dealing damage to an opponent, increases CRIT Rate by 8~16%. Max 5 stacks. A CRIT hit removes all existing stacks."
20,Rust,42(510),ATK 9%(41.3%),Rapid FiringIncreases Normal Attack DMG by 40~80% but decreases Charged Attack DMG by 10%.
21,Sacrificial Bow,44(565),Energy Recharge 6.7%(30.6%),"ComposedAfter dealing damage to an opponent with an Elemental Skill, the skill has a 40~80% chance to end its own CD. Can only occur once every 30~16s."
22,The Stringless,42(510),Elemental Mastery 36(165),Arrowless SongIncreases Elemental Skill and Elemental Burst DMG by 24~48%.
23,The Viridescent Hunt,42(510),CRIT Rate 6%(27.6%),"Verdant WindUpon hit, Normal and Aimed Shot Attacks have a 50% chance to generate a Cyclone, which will continuously attract surrounding opponents, dealing 40~80% of ATK as DMG to these opponents every 0.5s for 4s. This effect can only occur once every 14~10s."
24,Windblume Ode,42(510),Elemental Mastery 36(165),"Windblume WishAfter using an Elemental Skill, receive a boon from the ancient wish of the Windblume, increasing ATK by 16~32% for 6s."
25,Messenger,40(448),CRIT DMG 6.8%(31.2%),Archer's MessageCharged Attack hits on weak spots deal an additional 100~200% ATK DMG as CRIT DMG. Can only occur once every 10s.
26,Raven Bow,40(448),Elemental Mastery 20(94),Bane of Flame and WaterIncreases DMG against opponents affected by Hydro or Pyro by 12~24%.
27,Recurve Bow,38(354),HP 10.2%(46.9%),Cull the WeakDefeating an opponent restores 8~16% HP.
28,Sharpshooter's Oath,39(401),CRIT DMG 10.2%(46.9%),PreciseIncreases DMG against weak spots by 24~48%.
29,Slingshot,38(354),CRIT Rate 6.8%(31.2%),"SlingshotIf a Normal or Charged Attack hits a target within 0.3s of being fired, increases DMG by 36~60%. Otherwise, decreases DMG by 10%."
30,Seasoned Hunter's Bow,33(243),None,None
31,Hunter's Bow,23(185),None,None
