,Name,Base ATK (Max),2nd Stat (Max),Passive Ability
0,Memory of Dust,46(608),ATK 10.8%(49.6%),"Golden MajestyIncreases Shield Strength by 20~40%. Scoring hits on opponents increases ATK by 4~8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%."
1,Everlasting Moonglow,46(608),HP 10.8%(49.6%),"Byakuya KougetsuHealing Bonus increased by 10~20%, Normal Attack DMG is increased by 1~3.0% of the Max HP of the character equipping this weapon. For 12s after using an Elemental Burst, Normal Attacks that hit opponents will restore 0.6 Energy. Energy can be restored this way once every 0.1s."
2,Skyward Atlas,48(674),ATK 7.2%(33.1%),"Wandering CloudsIncreases Elemental DMG Bonus by 12~24%. Normal Attack hits have a 50% chance to earn the favor of the clouds. which actively seek out nearby opponents to attack for 15s, dealing 160~320% ATK DMG. Can only occur once every 30s."
3,Kagura's Verity,46(608),CRIT DMG 14.4%(66.2%),"Kagura Dance of the Sacred SakuraGains the Kagura Dance effect when using an Elemental Skill, causing the Elemental Skill DMG of the character wielding this weapon to increase by 12~24% for 16s. Max 3 stacks. This character will gain 12~24% All Elemental DMG Bonus when they possess 3 stacks."
4,Lost Prayer to the Sacred Winds,46(608),CRIT Rate 7.2%(33.1%),"Boundless BlessingIncreases Movement SPD by 10%. When in battle, gain an 8~16% Elemental DMG Bonus every 4s. Max 4 stacks. Lasts until the character falls or leaves combat."
5,Blackcliff Agate,42(510),CRIT DMG 12%(55.1%),"Press the AdvantageAfter defeating an opponent, ATK is increased by 12~24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
6,The Widsith,42(510),CRIT DMG 12%(55.1%),"DebutWhen a character takes the field, they will gain a random theme song for 10s. This can only occur once every 30s.Recitative: ATK is increased by 60~120%.Aria: Increases all Elemental DMG by 48~96%.Interlude: Elemental Mastery is increased by 240~480."
7,Solar Pearl,42(510),CRIT Rate 6%(27.6%),"Solar ShineNormal Attack hits increase Elemental Skill and Elemental Burst DMG by 20~40% for 6s. Likewise, Elemental Skill or Elemental Burst hits increase Normal Attack DMG by 20~40% for 6s."
8,Sacrificial Fragments,41(454),Elemental Mastery 48(221),"ComposedAfter dealing damage to an opponent with an Elemental Skill, the skill has a 40~80% chance to end its own CD. Can only occur once every 30~16s."
9,Royal Grimoire,44(565),ATK 6%(27.6%),"FocusUpon dealing damage to an opponent, increases CRIT Rate by 8~16%. Max 5 stacks. A CRIT hit removes all existing stacks."
10,Prototype Amber,42(510),HP 9%(41.3%),GildingUsing an Elemental Burst regenerates 4~6 Energy every 2s for 6s. All party members will regenerate 4~6% HP every 2s for this duration.
11,Oathsworn Eye,44(565),ATK 6%(27.6%),People of the Faltering LightIncreases Energy Recharge by 24~48% for 10s after using an Elemental Skill.
12,Wine and Song,44(565),Energy Recharge 6.7%(30.6%),"Ever-ChangingHitting an opponent with a Normal Attack decreases the Stamina consumption of Sprint or Alternate Sprint by 14~22% for 5s. Additionally, using a Sprint or Alternate Sprint ability increases ATK by 20~40% for 5s."
13,Mappa Mare,44(565),Elemental Mastery 24(110),Infusion ScrollTriggering an Elemental reaction grants a 8~16% Elemental DMG Bonus for 10s. Max 2 stacks.
14,Hakushin Ring,44(565),Energy Recharge 6.7%(30.6%),"Sakura SaiguuAfter the character equipped with this weapon triggers an Electro elemental reaction, nearby party members of an Elemental Type involved in the elemental reaction receive a 10~20% Elemental DMG Bonus for their element, lasting 6s. Elemental Bonuses gained in this way cannot be stacked."
15,Frostbearer,42(510),ATK 9%(41.3%),"Frost BurialHitting an opponent with Normal and Charged Attacks has a 60~100% chance of forming and dropping an Everfrost Icicle above them, dealing 80~140% AoE ATK DMG. Opponents affected by Cryo are dealt 200~360% ATK DMG instead by the icicle. Can only occur once every 10s."
16,Favonius Codex,42(510),Energy Recharge 10.0%(45.9%),"WindfallCRIT hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
17,Eye of Perception,41(454),ATK 12%(55.1%),"EchoNormal and Charged Attacks have a 50% chance to fire a Bolt of Perception, dealing 240~360% ATK as DMG. This bolt can bounce between opponents a maximum of 4 times. This effect can occur once every 12~8s."
18,Dodoco Tales,41(454),ATK 12%(55.1%),Dodoventure!Normal Attack hits on opponents increase Charged Attack DMG by 16~32% for 6s. Charged Attack hits on opponents increase ATK by 8~16% for 6s.
19,Magic Guide,38(354),Elemental Mastery 41(187),Bane of Storm and TideIncreases DMG against opponents affected by Hydro or Electro by 12~24%.
20,Otherworldly Story,39(401),Energy Recharge 8.5%(39.0%),Energy ShowerEach Elemental Orb or Particle collected restores 1~2% HP.
21,Emerald Orb,40(448),Elemental Mastery 20(94),"RapidsUpon causing a Vaporize, Electro-Charged, Frozen, or a Hydro-infused Swirl reaction, increases ATK by 20~40% for 12s."
22,Thrilling Tales of Dragon Slayers,39(401),HP 7.7%(35.2%),"HeritageWhen switching characters, the new character taking the field has their ATK increased by 24~48% for 10s. This effect can only occur once every 20s."
23,Twin Nephrite,40(448),CRIT Rate 3.4%(15.6%),Guerilla TacticDefeating an opponent increases Movement SPD and ATK by 12~20% for 15s.
24,Pocket Grimoire,33(243),None,None
25,Apprentice's Notes,23(185),None,None
