,Name,Base ATK (Max),2nd Stat (Max),Passive Ability
0,Wolf's Gravestone,46(608),ATK 10.8%(49.6%),"Wolfish TrackerIncreases ATK by 20~40%. On hit, attacks against opponents with less than 30% HP increase all party members' ATK by 40~80% for 12s. Can only occur once every 30s."
1,Redhorn Stonethresher,44(542),CRIT DMG 19.2%(88.2%),Gokadaiou OtogibanashiDEF is increased by 28~56%. Normal and Charged Attack DMG is increased by 40~80% of DEF.
2,The Unforged,46(608),ATK 10.8%(49.6%),"Golden MajestyIncreases Shield Strength by 20~40%. Scoring hits on opponents increases ATK by 4~8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%."
3,Song of Broken Pines,49(741),Physical DMG Bonus 4.5%(20.7%),"Rebel's Banner HymnA part of the ""Millennial Movement"" that wanders amidst the winds.Increases ATK by 16~32%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s.When you possess four Sigils of Whispers, all of them will be consumed and all nearby party members will obtain the ""Millennial Movement: Banner-Hymn"" effect for 12s.""Millennial Movement: Banner-Hymn"" increases Normal ATK SPD by 12~24% and increases ATK by 20~40%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s.Of the many effects of the ""Millennial Movement"", buffs of the same type will not stack."
4,Skyward Pride,48(674),Energy Recharge 8%(36.8%),"Sky-ripping Dragon SpineIncreases all DMG by 8~16%. After using an Elemental Burst, Normal or Charged Attack, on hit, creates a vacuum blade that does 80~160% of ATK as DMG to opponents along its path. Lasts for 20s or 8 vacuum blades."
5,Whiteblind,42(510),DEF 11.3%(51.7%),"Infusion BladeOn hit, Normal or Charged Attacks increase ATK and DEF by 6~12% for 6s. Max 4 stacks (24~48% total). Can only occur once every 0.5s."
6,The Bell,42(510),HP 9%(41.3%),"Rebellious GuardianTaking DMG generates a shield which absorbs DMG up to 20~32% of max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by a shield, the character gains 12~24% increased DMG."
7,Snow-Tombed Starsilver,44(565),Physical DMG Bonus 7.5%(34.5%),"Frost BurialHitting an opponent with Normal and Charged Attacks has a 60~100% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 80~140% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 200~360% of ATK. Can only occur once every 10s."
8,Serpent Spine,42(510),CRIT Rate 6%(27.6%),"WavesplitterEvery 4s a character is on the field, they will deal 6~10% more DMG and take 3~2% more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be reduced by 1 stack when the character takes DMG."
9,Sacrificial Greatsword,44(565),Energy Recharge 6.7%(30.6%),"ComposedAfter dealing damage to an opponent with an Elemental Skill, the skill has a 40~80% chance to end its own CD. Can only occur once every 30~16s."
10,Blackcliff Slasher,42(510),CRIT DMG 12%(55.1%),"Press the AdvantageAfter defeating an opponent, ATK is increased by 12~24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
11,Akuoumaru,42(510),ATK 9%(41.3%),"Watatsumi WavewalkerFor every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12~0.24%. A maximum of 40~80% increased Elemental Burst DMG can be achieved this way."
12,Rainslasher,42(510),Elemental Mastery 36(165),Bane of Storm and TideIncreases DMG against opponents affected by Hydro or Electro by 20~36%.
13,Prototype Archaic,44(565),ATK 6%(27.6%),"CrushOn hit, Normal or Charged Attacks have a 50% chance to deal an additional 240~480% ATK DMG to opponents within a small AoE. Can only occur once every 15s."
14,Luxurious Sea-Lord,41(454),ATK 12%(55.1%),"Oceanic VictoryIncreases Elemental Burst DMG by 12~24%. When Elemental Burst hits opponents, there is a 100% chance of summoning a huge onrush of tuna that deals 100~200% ATK as AoE DMG. This effect can occur once every 15s."
15,Lithic Blade,42(510),ATK 9%(41.3%),"Lithic Axiom - UnityFor every character in the party who hails from Liyue, the character who equips this weapon gains 7~11% ATK increase and 3~7% CRIT Rate increase. This effect stacks up to 4 times."
16,Katsuragikiri Nagamasa,42(510),Energy Recharge 10.0%(45.9%),"Samurai ConductIncreases Elemental Skill DMG by 6~12%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3~5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field."
17,Favonius Greatsword,41(454),Energy Recharge 13.3%(61.3%),"WindfallCRIT hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
18,Royal Greatsword,44(565),ATK 6%(27.6%),"FocusUpon dealing damage to an opponent, increases CRIT Rate by 8~16%. Max 5 stacks. A CRIT hit removes all existing stacks."
19,Skyrider Greatsword,39(401),Physical DMG Bonus 9.6%(43.9%),"CourageOn hit, Normal or Charged Attacks increase ATK by 6~10% for 6s. Max 4 stacks. Can only occur once every 0.5s."
20,Ferrous Shadow,39(401),HP 7.7%(35.2%),"UnbendingWhen HP falls below 70~90%, increases Charged Attack DMG by 30~50%, and Charged Attacks become much harder to interrupt."
21,Debate Club,39(401),ATK 7.7%(35.2%),"Blunt ConclusionAfter using an Elemental Skill, Normal or Charged Attacks, on hit, deal an additional 60~120% ATK DMG in a small area. Effect lasts 15s. DMG can only occur once every 3s."
22,White Iron Greatsword,39(401),DEF 9.6%(43.9%),Cull the WeakDefeating an opponent restores 8~16% HP.
