,Name,Base ATK (Max),2nd Stat (Max),Passive Ability
0,Calamity Queller,49 (741),ATK 3.6% (16.5%),"Extinguishing Precept Gain 12~24% All Elemental DMG Bonus. Obtain Consummation for 20s after using an Elemental Skill, causing ATK to increase by 3.2~6.4% per second. This ATK increase has a maximum of 6 stacks. When the character equipped with this weapon is not on the field, Consummation's ATK increase is doubled."
1,Engulfing Lightning,46 (608),Energy Recharge 12% (55.1%),Timeless Dream: Eternal Stove ATK increased by 28~56% of Energy Recharge over the base 100%. You can gain a maximum bonus of 80~120% ATK. Gain 30~50% Energy Recharge for 12s after using an Elemental Burst.
2,Primordial Jade Winged-Spear,48 (674),CRIT Rate 4.8% (22.1%),"Eagle Spear of Justice On hit, increases ATK by 3.2~6.0% for 6s. Max 7 stacks. This effect can only occur once every 0.3s. While in possession of the maximum possible stacks, DMG dealt is increased by 12~24%."
3,Skyward Spine,48 (674),Energy Recharge 8% (36.8%),"Black Wing Increases CRIT Rate by 8~16% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on opponents have a 50% chance to trigger a vacuum blade that deals 40~100% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s."
4,Staff of Homa,46 (608),CRIT DMG 14.4% (66.2%),"Reckless Cinnabar HP increased by 20~40%. Additionally, provides an ATK Bonus based on 0.8~1.6% of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK bonus is increased by an additional 1~1.8% of Max HP."
5,Staff of the Scarlet Sands,44 (542),CRIT Rate 9.6% (44.1%),"Heat Haze at Horizon's End The equipping character gains 52~104% of their Elemental Mastery as bonus ATK. When an Elemental Skill hits opponents, the Dream of the Scarlet Sands effect will be gained for 10s: The equipping character will gain 28~56% of their Elemental Mastery as bonus ATK. Max 3 stacks."
6,Vortex Vanquisher,46 (608),ATK 10.8% (49.6%),"Golden Majesty Increases Shield Strength by 20~40%. Scoring hits on opponents increases ATK by 4~8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%."
7,"""The Catch""",42 (510),Energy Recharge 10.0% (45.9%),Shanty Increases Elemental Burst DMG by 16~32% and Elemental Burst CRIT Rate by 6~12%.
8,Blackcliff Pole,42 (510),CRIT DMG 12% (55.1%),"Press the Advantage After defeating an opponent, ATK is increased by 12~24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
9,Crescent Pike,44 (565),Physical DMG Bonus 7.5% (34.5%),"Infusion Needle After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal an additional 20~40% ATK as DMG for 5s."
10,Deathmatch,41 (454),CRIT Rate 8% (36.8%),"Gladiator If there are at least 2 opponents nearby, ATK is increased by 16~32% and DEF is increased by 16~32%. If there are fewer than 2 opponents nearby, ATK is increased by 24~48%."
11,Dragon's Bane,41 (454),Elemental Mastery 48 (221),Bane of Flame and Water Increases DMG against opponents affected by Hydro or Pyro by 20~36%.
12,Dragonspine Spear,41 (454),Physical DMG Bonus 15% (69.0%),"Frost Burial Hitting an opponent with Normal and Charged Attacks has a 60~100% chance of forming and dropping an Everfrost Icicle above them, dealing 80~140% AoE ATK DMG. Opponents affected by Cryo are dealt 200~360% ATK DMG instead by the icicle. Can only occur once every 10s."
13,Favonius Lance,44 (565),Energy Recharge 6.7% (30.6%),"Windfall CRIT Hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
14,Kitain Cross Spear,44 (565),Elemental Mastery 24 (110),"Samurai Conduct Increases Elemental Skill DMG by 6~12%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3~5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field."
15,Lithic Spear,44 (565),ATK 6% (27.6%),"Lithic Axiom - Unity For every character in the party who hails from Liyue, the character who equips this weapon gains 7~11% ATK increase and a 3~7% CRIT Rate increase. This effect stacks up to 4 times."
16,Missive Windspear,42 (510),ATK 9% (41.3%),"The Wind Unattained Within 10s after an Elemental Reaction is triggered, ATK is increased by 12~24% and Elemental Mastery is increased by 48~96."
17,Moonpiercer,44 (565),Elemental Mastery 24 (110),"Stillwood Moonshadow After triggering Burning, Quicken, Aggravate, Spread, Bloom, Hyperbloom, or Burgeon, a Leaf of Revival will be created around the character for a maximum of 10s. When picked up, the Leaf will grant the character 16~32% ATK for 12s. Only 1 Leaf can be generated this way every 20s. This effect can still be triggered if the character is not on the field."
18,Prototype Starglitter,42 (510),Energy Recharge 10.0% (45.9%),"Magic Affinity After using an Elemental Skill, increases Normal and Charged Attack DMG by 8~16% for 12s. Max 2 stacks."
19,Royal Spear,44 (565),ATK 6% (27.6%),"Focus Upon dealing damage to an opponent, increases CRIT Rate by 8~16%. Max 5 stacks. A CRIT hit removes all existing stacks."
20,Wavebreaker's Fin,45 (620),ATK 3% (13.8%),"Watatsumi Wavewalker For every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12~0.24%. A maximum of 40~80% increased Elemental Burst DMG can be achieved this way."
21,Black Tassel,38 (354),HP 10.2% (46.9%),Bane of the Soft Increases DMG against slimes by 40~80%.
22,Halberd,40 (448),ATK 5.1% (23.4%),Heavy Normal Attacks deal an additional 160~320% DMG. Can only occur once every 10s.
23,White Tassel,39 (401),CRIT Rate 5.1% (23.4%),Sharp Increases Normal Attack DMG by 24~48%.
24,Iron Point,33 (243),None,None
25,Beginner's Protector,23 (185),None,None
